_id,NAME,COUNTRY,DAY,MONTH,YEAR,ROUTE,NAME OF THE TEAM,LEADER
1,TENZING NORGAY,NEPAL,29,5,1953,SOUTHCOL,BRITISH EXPEDITION,Lord John Hunt
2,EDMUND HILLARY,NEW ZEALAND,29,5,1953,SOUTHCOL,BRITISH EXPEDITION,""""
3,ERNST SCHMIED,SWITZERLAND,23,5,1956,SOUTHCOL,SWITZERLAND EXPEDITION,Alber Eggler
4,JUERGE MARMET,SWITZERLAND,23,5,1956,SOUTHCOL,SWITZERLAND EXPEDITION,""""
5,ADOLF REIST,SWITZERLAND,24,5,1956,SOUTHCOL,SWITZERLAND EXPEDITION,""""
6,HANSRUDOLFVON,SWITZERLAND,24,5,1956,SOUTHCOL,SWITZERLAND EXPEDITION,""""
7,WANG FU-CHOU,CHINA,1,1,1960,NORTHCOL,CHINESE EXPEDITION,Shin Chan-Chu
8,GONPA,CHINA,1,1,1960,NORTHCOL,CHINESE EXPEDITION,""""
9,CHU YING-HUA,CHINA,1,1,1960,NORTHCOL,CHINESE EXPEDITION,""""
10,JIM WHITTAKER,USA,1,5,1963,SOUTHCOL,AMERICAN EXPEDITION,Norman Dyhrenfurth
11,NAWANG GOMBU,INDIA,1,5,1963,SOUTHCOL,AMERICAN EXPEDITION,""""
12,BARRY BISHOP,USA,22,5,1963,SOUTHCOL,AMERICAN EXPEDITION,""""
13,LUTHER JERSTAD,USA,22,5,1963,SOUTHCOL,AMERICAN EXPEDITION,""""
14,WILLIUNSOELD,USA,22,5,1963,SOUTHCOL,AMERICAN EXPEDITION,""""
15,THOMAS F. HOMBEIN,USA,22,5,1963,SOUTHCOL,AMERICAN EXPEDITION,""""
16,A.S. CHEEMA,INDIA,20,5,1963,SOUTHCOL,INDIAN EXPEDITION,M.S. Kohli
17,NAWANG BOMBU,INDIA,20,5,1963,SOUTHCOL,INDIAN EXPEDITION,""""
18,SONAM GYASTO,INDIA,22,5,1965,SOUTHCOL,INDIAN EXPEDITION,""""
19,SONAM WANGYAL,INDIA,22,5,1965,SOUTHCOL,INDIAN EXPEDITION,""""
20,C.P. JOHRA,INDIA,24,5,1965,SOUTHCOL,INDIAN EXPEDITION,""""
21,ANG KAMI SHERPA,INDIA,24,5,1965,SOUTHCOL,INDIAN EXPEDITION,""""
22,H.P.S. AHLUWALI,INDIA,29,5,1965,SOUTHCOL,INDIAN EXPEDITION,""""
23,H.C.S. RAWAT,INDIA,29,5,1965,SOUTHCOL,INDIAN EXPEDITION,""""
24,PHU DORJEE SHERPA,NEPAL,29,5,1965,SOUTHCOL,INDIAN EXPEDITION,""""
25,NAOMI UEMORA,JAPAN,11,5,1965,SOUTHCOL,JAPAN EXPEDITION,""
26,TERUO MATSUURN,JAPAN,11,5,1965,SOUTHCOL,JAPAN EXPEDITION,""
27,KATSUTOSHI HIRABAYSHI,JAPAN,12,5,1970,SOUTHCOL,JAPAN EXPEDITION,""
28,CHOTARE SHERPA,NEPAL,12,5,1970,SOUTHCOL,JAPAN EXPEDITION,""
29,RANALDO CAREEL,ITALY,5,5,1973,SOUTHCOL,ITALIAN EXPEDITION,Gurdo Mornzine
30,MIKO MINUNZZO,ITALY,5,5,1973,SOUTHCOL,ITALIAN EXPEDITION,""""
31,LHAKPA TEN SHERPA,NEPAL,5,5,1973,SOUTHCOL,ITALIAN EXPEDITION,""""
32,SHAMBU TAMANG,NEPAL,5,5,1973,SOUTHCOL,ITALIAN EXPEDITION,""""
33,FARRIZION INNAMORATE,ITALY,7,5,1973,SOUTHCOL,ITALIAN EXPEDITION,""""
34,VIRGINIO EPIS,ITALY,7,5,1973,SOUTHCOL,ITALIAN EXPEDITION,""""
35,CHAUDIO BENEDETTI,ITALY,7,5,1973,SOUTHCOL,ITALIAN EXPEDITION,""""
36,SONAM GYALJEN SHERPA,NEPAL,7,5,1973,SOUTHCOL,ITALIAN EXPEDITION,""""
37,YASUO KATO,JAPAN,26,10,1973,SOUTHCOL,JAPAN EXPEDITION,Michio Yuasa
38,HISASHI ISHIGURO,JAPAN,26,5,1975,SOUTHCOL,JAPAN EXPEDITION,""""
